ent,ic_rezedu,ic_asalud,ic_segsoc,ic_cv,ic_sbv,ic_ali,plb_m,plb,carencias,carencias3
Aguascalientes,0.14228679161583677,0.1147831873128535,0.4368415215703671,0.05445270045469668,0.03349229233669735,0.132083841632472,0.08184540312742597,0.3481202173671953,0.5784629034046801,0.06554286348009315
Baja California,0.18321212652238675,0.16525015333391746,0.5088057478314203,0.11434329273635328,0.21405414877770962,0.16148251993340926,0.048190659773942,0.2622448085516516,0.7135722421799702,0.15666345395601508
Baja California Sur,0.14788550799381125,0.1075296544610624,0.433599793708097,0.15085095410005156,0.1269984528107272,0.18231046931407943,0.052862300154718926,0.23736462093862815,0.6405363589479113,0.12480660134089737
Campeche,0.16855419914693337,0.11648771878217384,0.6047948227680541,0.16296514193263714,0.37711428151198706,0.2728342403294602,0.1769377849683777,0.5006618620385351,0.7729077805559641,0.27386380350051476
Coahuila,0.13063374201346917,0.13443274045933346,0.31402175790018994,0.045933344845449836,0.05465377309618373,0.1895182179243654,0.0714039026074944,0.3408737696425488,0.5234847176653428,0.07727508202383009
Colima,0.2014031300593632,0.10404749055585537,0.5503507825148408,0.1117107393416082,0.16956287101996761,0.23000539665407446,0.1025364274150027,0.36254722072315165,0.729087965461414,0.16373448461953588
Chiapas,0.291660885250451,0.17496878035243513,0.83613153878174,0.23574302761204385,0.570140141529069,0.22089635077008463,0.5027057027889552,0.7900652143749133,0.9182739003746357,0.4302761204384626
Chihuahua,0.1963572455663844,0.11271768653139479,0.5025563189007829,0.09059678836781976,0.1024924109282633,0.18189806678383127,0.12557916600095861,0.3820099057357405,0.6538307901254294,0.13150115842454263
Distrito Federal,0.1015813454837845,0.19619404985258643,0.5257303671937819,0.09246850710265345,0.15156794425087108,0.1541141785044224,0.07759313856874832,0.3649155722326454,0.6625569552398821,0.13200214419726614
Durango,0.15308056872037915,0.131042654028436,0.5204976303317536,0.04691943127962085,0.0768957345971564,0.18187203791469195,0.14277251184834122,0.4745260663507109,0.6828199052132702,0.09419431279620853
Guanajuato,0.2162444254673119,0.13217572824746182,0.620457348894582,0.09981971724072493,0.16415219660309327,0.20286554701584592,0.16462662491697505,0.5102002087484581,0.7758800645222507,0.16415219660309327
Guerrero,0.25196199917389506,0.13782183670659506,0.7765386204047914,0.3020245145296791,0.6259121575106705,0.36155858460691176,0.4050667768139887,0.708247280737987,0.9143368681999725,0.49359592342652525
Hidalgo,0.1764618360363041,0.144174973962208,0.7106085403957745,0.10028269602737688,0.2553191489361702,0.22407379854188364,0.15087040618955513,0.4866835292367207,0.8265139116202946,0.21365868174378813
Jalisco,0.1865979381443299,0.18530927835051547,0.5265463917525773,0.07448453608247423,0.11262886597938145,0.1547680412371134,0.08260309278350515,0.3494845360824742,0.6838917525773196,0.13208762886597938
Mexico,0.1717640633533588,0.1836883306025851,0.6651192426724922,0.11181934073939173,0.21582013471691244,0.22455852903695614,0.15592572364827964,0.5255780083742946,0.7852850118375524,0.216445091968676
Michoacan,0.24583333333333332,0.21264880952380952,0.6979166666666666,0.12961309523809525,0.18392857142857144,0.21220238095238095,0.165625,0.5227678571428571,0.812202380952381,0.2324404761904762
Morelos,0.17342560553633218,0.16705882352941176,0.6863667820069204,0.11847750865051904,0.23031141868512112,0.2532871972318339,0.1952941176470588,0.5540484429065744,0.8220069204152249,0.21923875432525952
Nayarit,0.1682088565763384,0.135822868473232,0.5558493060145406,0.11533377395902181,0.17019167217448777,0.18704560475875742,0.1338400528750826,0.3939193654990086,0.7035690680766689,0.15746860541969596
Nuevo Leon,0.15479609419873636,0.12645988895270918,0.424468696151637,0.060788818686578594,0.12368370668198353,0.12751292360712235,0.03580317825004786,0.21548918246218648,0.5941030059352862,0.09630480566724105
Oaxaca,0.2854158987590613,0.1568988819265266,0.7774910922717778,0.2589998771347831,0.6204693451283941,0.28394151615677604,0.39402875046074454,0.7113896056026539,0.9042879960683131,0.4693451283941516
Puebla,0.2006726457399103,0.2062780269058296,0.7330437219730942,0.12401905829596413,0.27676569506726456,0.21076233183856502,0.23388452914798205,0.6669002242152466,0.8340807174887892,0.2453755605381166
Queretaro,0.18374860861375117,0.11242400890487199,0.5818135114307732,0.09966606730028256,0.19832163041616716,0.15506464594571454,0.08562376915831835,0.35670862231355427,0.7258948450077068,0.14934064052063709
Quintana Roo,0.17213520197856555,0.14921681780708987,0.5507007419620775,0.22407254740313273,0.27106347897774113,0.18318219291014015,0.09101401483924156,0.3523495465787304,0.7231657048639736,0.23957131079967023
San Luis Potosi,0.18900386485475626,0.08265802269043761,0.6089016332128163,0.10958733325021817,0.34447076424385986,0.1794040643311308,0.22665503054481984,0.5498067572621868,0.7657399326767236,0.20209450193242737
Sinaloa,0.15416951803695375,0.13461726463974974,0.4441294359174895,0.08094632906442467,0.12239710626649722,0.23374718936357416,0.07508065304526347,0.3790204321048001,0.6393586860885717,0.13285756183400138
Sonora,0.13040465631929046,0.12555432372505543,0.44747782705099776,0.10532150776053215,0.18167960088691795,0.24417960088691795,0.09603658536585366,0.3845620842572062,0.6381651884700665,0.15812084257206208
Tabasco,0.16761845963883315,0.12640839635746257,0.694860317950301,0.12378453465040902,0.46473221176107427,0.4698255903688841,0.2119154190461491,0.5730822657817565,0.8751350517055101,0.37567525852755057
Tamaulipas,0.16136612877957074,0.11514961616794611,0.4736017546608178,0.08820303932320225,0.1533761554128153,0.1701394328685571,0.1638727870907097,0.5011749960833464,0.6562744790850698,0.12454958483471722
Tlaxcala,0.13410227904391328,0.13590883824346858,0.6837131739855475,0.08895066018068103,0.10394663702056699,0.19941634241245138,0.14980544747081712,0.5644802668148972,0.7751216122307157,0.1367616400277971
Veracruz,0.28380512695905724,0.15721054549872435,0.7255497509415624,0.1772567124286235,0.5148827602964403,0.26606730652411614,0.3560928198274815,0.6993074960515125,0.8700036447576236,0.3819705989551695
Yucatan,0.22588389349628982,0.13018332605848973,0.6062854648625055,0.17765168048886948,0.511348756001746,0.2094063727629856,0.133457005674378,0.46235268441728505,0.8094718463553033,0.3154735923177652
Zacatecas,0.1767219708396179,0.11827551533433886,0.6205379587732529,0.05417295123177476,0.09741075917546506,0.16402714932126697,0.17332830568124685,0.5449974861739567,0.7487430869783811,0.10143288084464555
